feature,fold,model
CFH,1,RF_max_depth=2_min_samples_leaf=5
CYP51A1,1,RF_max_depth=2_min_samples_leaf=5
RAD52,1,RF_max_depth=2_min_samples_leaf=5
AOC1,1,RF_max_depth=2_min_samples_leaf=5
M6PR,1,RF_max_depth=2_min_samples_leaf=5
ARF5,1,RF_max_depth=2_min_samples_leaf=5
SLC25A13,1,RF_max_depth=2_min_samples_leaf=5
CALCR,1,RF_max_depth=2_min_samples_leaf=5
MYCBP2,1,RF_max_depth=2_min_samples_leaf=5
AP2B1,1,RF_max_depth=2_min_samples_leaf=5
VPS41,1,RF_max_depth=2_min_samples_leaf=5
JARID2,1,RF_max_depth=2_min_samples_leaf=5
AASS,1,RF_max_depth=2_min_samples_leaf=5
IL32,1,RF_max_depth=2_min_samples_leaf=5
CSDE1,1,RF_max_depth=2_min_samples_leaf=5
MASP2,1,RF_max_depth=2_min_samples_leaf=5
MLXIPL,1,RF_max_depth=2_min_samples_leaf=5
FYN,1,RF_max_depth=2_min_samples_leaf=5
UTP18,1,RF_max_depth=2_min_samples_leaf=5
ANLN,1,RF_max_depth=2_min_samples_leaf=5
CFH,2,RF_max_depth=2_min_samples_leaf=5
CYP51A1,2,RF_max_depth=2_min_samples_leaf=5
RAD52,2,RF_max_depth=2_min_samples_leaf=5
AOC1,2,RF_max_depth=2_min_samples_leaf=5
M6PR,2,RF_max_depth=2_min_samples_leaf=5
ARF5,2,RF_max_depth=2_min_samples_leaf=5
SLC25A13,2,RF_max_depth=2_min_samples_leaf=5
CALCR,2,RF_max_depth=2_min_samples_leaf=5
MYCBP2,2,RF_max_depth=2_min_samples_leaf=5
AP2B1,2,RF_max_depth=2_min_samples_leaf=5
VPS41,2,RF_max_depth=2_min_samples_leaf=5
JARID2,2,RF_max_depth=2_min_samples_leaf=5
AASS,2,RF_max_depth=2_min_samples_leaf=5
IL32,2,RF_max_depth=2_min_samples_leaf=5
CSDE1,2,RF_max_depth=2_min_samples_leaf=5
MASP2,2,RF_max_depth=2_min_samples_leaf=5
MLXIPL,2,RF_max_depth=2_min_samples_leaf=5
FYN,2,RF_max_depth=2_min_samples_leaf=5
UTP18,2,RF_max_depth=2_min_samples_leaf=5
ANLN,2,RF_max_depth=2_min_samples_leaf=5
CFH,3,RF_max_depth=2_min_samples_leaf=5
CYP51A1,3,RF_max_depth=2_min_samples_leaf=5
RAD52,3,RF_max_depth=2_min_samples_leaf=5
AOC1,3,RF_max_depth=2_min_samples_leaf=5
M6PR,3,RF_max_depth=2_min_samples_leaf=5
ARF5,3,RF_max_depth=2_min_samples_leaf=5
SLC25A13,3,RF_max_depth=2_min_samples_leaf=5
CALCR,3,RF_max_depth=2_min_samples_leaf=5
MYCBP2,3,RF_max_depth=2_min_samples_leaf=5
AP2B1,3,RF_max_depth=2_min_samples_leaf=5
VPS41,3,RF_max_depth=2_min_samples_leaf=5
JARID2,3,RF_max_depth=2_min_samples_leaf=5
AASS,3,RF_max_depth=2_min_samples_leaf=5
IL32,3,RF_max_depth=2_min_samples_leaf=5
CSDE1,3,RF_max_depth=2_min_samples_leaf=5
MASP2,3,RF_max_depth=2_min_samples_leaf=5
MLXIPL,3,RF_max_depth=2_min_samples_leaf=5
FYN,3,RF_max_depth=2_min_samples_leaf=5
UTP18,3,RF_max_depth=2_min_samples_leaf=5
ANLN,3,RF_max_depth=2_min_samples_leaf=5
CFH,1,RF_max_depth=2_min_samples_leaf=10
CYP51A1,1,RF_max_depth=2_min_samples_leaf=10
RAD52,1,RF_max_depth=2_min_samples_leaf=10
AOC1,1,RF_max_depth=2_min_samples_leaf=10
M6PR,1,RF_max_depth=2_min_samples_leaf=10
ARF5,1,RF_max_depth=2_min_samples_leaf=10
SLC25A13,1,RF_max_depth=2_min_samples_leaf=10
CALCR,1,RF_max_depth=2_min_samples_leaf=10
MYCBP2,1,RF_max_depth=2_min_samples_leaf=10
AP2B1,1,RF_max_depth=2_min_samples_leaf=10
VPS41,1,RF_max_depth=2_min_samples_leaf=10
JARID2,1,RF_max_depth=2_min_samples_leaf=10
AASS,1,RF_max_depth=2_min_samples_leaf=10
IL32,1,RF_max_depth=2_min_samples_leaf=10
CSDE1,1,RF_max_depth=2_min_samples_leaf=10
MASP2,1,RF_max_depth=2_min_samples_leaf=10
