feature,fold,model
ZMYND12,1,LR_C=0.001
H19,1,LR_C=0.001
CAMK2N2,1,LR_C=0.001
CSF2,1,LR_C=0.001
SGSM1,1,LR_C=0.001
HIGD2B,1,LR_C=0.001
RBMXL3,1,LR_C=0.001
LACC1,1,LR_C=0.001
OR52N5,1,LR_C=0.001
AC138647.1,1,LR_C=0.001
AL449283.1,1,LR_C=0.001
HNRNPA1P9,1,LR_C=0.001
AL445235.1,1,LR_C=0.001
AC130366.1,1,LR_C=0.001
AC063947.2,1,LR_C=0.001
AC025580.2,1,LR_C=0.001
AC025198.1,1,LR_C=0.001
AC093525.8,1,LR_C=0.001
AC004241.5,1,LR_C=0.001
AC093826.2,1,LR_C=0.001
ZMYND12,2,LR_C=0.001
H19,2,LR_C=0.001
CAMK2N2,2,LR_C=0.001
CSF2,2,LR_C=0.001
SGSM1,2,LR_C=0.001
HIGD2B,2,LR_C=0.001
RBMXL3,2,LR_C=0.001
LACC1,2,LR_C=0.001
OR52N5,2,LR_C=0.001
AC138647.1,2,LR_C=0.001
AL449283.1,2,LR_C=0.001
HNRNPA1P9,2,LR_C=0.001
AL445235.1,2,LR_C=0.001
AC130366.1,2,LR_C=0.001
AC063947.2,2,LR_C=0.001
AC025580.2,2,LR_C=0.001
AC025198.1,2,LR_C=0.001
AC093525.8,2,LR_C=0.001
AC004241.5,2,LR_C=0.001
AC093826.2,2,LR_C=0.001
ZMYND12,3,LR_C=0.001
H19,3,LR_C=0.001
CAMK2N2,3,LR_C=0.001
CSF2,3,LR_C=0.001
SGSM1,3,LR_C=0.001
HIGD2B,3,LR_C=0.001
RBMXL3,3,LR_C=0.001
LACC1,3,LR_C=0.001
OR52N5,3,LR_C=0.001
AC138647.1,3,LR_C=0.001
AL449283.1,3,LR_C=0.001
HNRNPA1P9,3,LR_C=0.001
AL445235.1,3,LR_C=0.001
AC130366.1,3,LR_C=0.001
AC063947.2,3,LR_C=0.001
AC025580.2,3,LR_C=0.001
AC025198.1,3,LR_C=0.001
AC093525.8,3,LR_C=0.001
AC004241.5,3,LR_C=0.001
AC093826.2,3,LR_C=0.001
ZMYND12,1,LR_C=0.01
H19,1,LR_C=0.01
CAMK2N2,1,LR_C=0.01
CSF2,1,LR_C=0.01
SGSM1,1,LR_C=0.01
HIGD2B,1,LR_C=0.01
RBMXL3,1,LR_C=0.01
LACC1,1,LR_C=0.01
OR52N5,1,LR_C=0.01
AC138647.1,1,LR_C=0.01
AL449283.1,1,LR_C=0.01
HNRNPA1P9,1,LR_C=0.01
AL445235.1,1,LR_C=0.01
AC130366.1,1,LR_C=0.01
AC063947.2,1,LR_C=0.01
AC025580.2,1,LR_C=0.01
AC025198.1,1,LR_C=0.01
AC093525.8,1,LR_C=0.01
AC004241.5,1,LR_C=0.01
AC093826.2,1,LR_C=0.01
ZMYND12,2,LR_C=0.01
